"Gene.symbol","Gene.chromosome.primaryIdentifier","Gene.chromosomeLocation.start","Gene.chromosomeLocation.end","Gene.chromosomeLocation.strand","Gene.featureType"
"9S_RRNA_1","chrmt","1","11","1","rRNA gene"
"","chrVI","53","535","1","ORF"
"","chrV","264","4097","-1","ORF"
"YRF1-7","chrXVI","280","6007","-1","ORF"
"","chrII","280","2658","-1","ORF"
"","chrI","335","649","1","ORF"
"YRF1-6","chrXIV","371","6098","-1","ORF"
"","chrVIII","445","3311","-1","ORF"
"","chrXI","451","798","1","ORF"
"","chrXIII","461","4684","-1","ORF"
"","chrX","466","6130","-1","ORF"
"","chrIX","483","6147","-1","ORF"
"","chrI","538","792","1","ORF"
"","chrXII","585","4301","-1","ORF"
"","chrXV","585","740","1","ORF"
"","chrV","630","1112","1","ORF"
"","chrXVI","643","1125","1","ORF"
"","chrII","646","1128","1","ORF"
"","chrmt","731","802","1","tRNA gene"
"","chrXIV","734","1216","1","ORF"
"","chrVIII","811","1293","1","ORF"
"","chrXIII","827","1309","1","ORF"
"","chrX","829","1311","1","ORF"
"","chrVI","836","1363","1","ORF"
"","chrXII","843","1325","1","ORF"
"","chrIX","846","1328","1","ORF"
"","chrXV","1000","1338","-1","ORF"
"","chrIII","1392","2135","1","ORF"
"","chrXVI","1426","2001","1","ORF"
"","chrVI","1437","2615","-1","ORF"
"","chrXIV","1517","2092","1","ORF"
"","chrXIII","1610","2185","1","ORF"
"AAD15","chrXV","1647","2078","-1","ORF"
"COS7","chrIV","1802","2953","1","ORF"
"PAU8","chrI","1807","2169","-1","ORF"
"PAU16","chrXI","1810","2181","-1","ORF"
"","chrIII","2126","2566","1","pseudogene"
"","chrXI","2389","2721","1","ORF"
"","chrI","2480","2707","1","ORF"
"","chrII","2582","2899","-1","ORF"
"COS12","chrVII","2790","3932","1","ORF"
"","chrIII","2824","3750","1","pseudogene"
"","chrII","2907","5009","-1","ORF"
"","chrVI","3030","3338","-1","ORF"
"","chrVI","3322","3846","-1","ORF"
"","chrXI","3503","5620","-1","ORF"
"","chrVIII","3726","4541","-1","ORF"
"","chrIV","3762","3836","1","ORF"
"","chrmt","3952","4338","1","ORF"
"","chrXV","4130","4312","1","ORF"
"","chrV","4185","5114","-1","ORF"
"","chrmt","4254","4415","1","ORF"
"","chrV","4464","5114","-1","ORF"
"","chrV","4870","5481","1","ORF"
"","chrVI","5066","5521","1","ORF"
"","chrVII","5312","5839","1","ORF"
"","chrV","5345","5713","-1","ORF"
"","chrXII","5605","5775","1","ORF"
"","chrVIII","5663","5797","-1","ORF"
"","chrII","5790","6125","1","ORF"
"MPH2","chrIV","5985","7814","1","ORF"
"MCH2","chrXI","6107","7528","1","ORF"
"","chrXII","6120","9836","-1","ORF"
"","chrV","6126","6464","1","ORF"
"BDS1","chrXV","6175","8115","1","ORF"
"PAU11","chrVII","6290","6652","-1","ORF"
"COS8","chrVIII","6401","7546","1","ORF"
"COS4","chrVI","6426","7565","1","ORF"
"GEX1","chrIII","6479","8326","-1","ORF"
"","chrXII","6486","6968","1","ORF"
"15S_RRNA","chrmt","6546","8194","1","rRNA gene"
"","chrXIV","6561","6719","1","ORF"
"","chrVII","6860","7090","1","ORF"
"","chrXIV","7165","7419","1","ORF"
"","chrV","7230","7553","-1","ORF"
"SEO1","chrI","7235","9016","-1","ORF"
"COS3","chrXIII","7244","8383","1","ORF"
"PAU9","chrII","7605","7733","-1","ORF"
"PAU22","chrXVI","7933","8427","-1","ORF"
"","chrII","8177","8482","1","ORF"
"COS1","chrXIV","8330","9475","1","ORF"
"ARN2","chrVIII","8351","10213","-1","ORF"
"YPS5","chrVII","8470","8967","1","ORF"
"SOR2","chrIV","8683","9756","-1","ORF"
"PAU1","chrX","8776","9138","-1","ORF"
"PAU14","chrIX","8793","9155","-1","ORF"
"FRE2","chrXI","9091","11226","-1","ORF"
"","chrVII","9162","9395","1","ORF"
"","chrIX","9183","9500","1","pseudogene"
"","chrII","9268","9372","1","ORF"
"","chrX","9346","9483","1","ORF"
"","chrmt","9374","9447","1","tRNA gene"
"","chrX","9452","9679","1","ORF"
"","chrIX","9469","9696","1","pseudogene"
"DDI3","chrVI","9545","10222","1","ORF"
"ERR2","chrXVI","9557","10870","-1","ORF"
"","chrII","9583","9666","1","tRNA gene"
"","chrXV","9597","10106","1","ORF"
"VBA3","chrIII","9706","11082","1","ORF"
"MIX23","chrII","9961","10551","-1","ORF"
"","chrVIII","9981","10307","1","ORF"
"","chrI","10091","10399","1","ORF"
"","chrXV","10119","10766","1","ORF"
"","chrXIII","10198","11295","1","ORF"
"SNO3","chrVI","10301","10969","-1","ORF"
"SRO77","chrII","10847","13879","-1","ORF"
"VEL1","chrVII","11110","11730","1","ORF"
"SNZ3","chrVI","11363","12259","1","ORF"
"DDI2","chrXIV","11452","12129","1","ORF"
"VTH2","chrX","11475","16124","1","ORF"
"ERO1","chrXIII","11483","13174","-1","ORF"
"VTH1","chrIX","11492","16141","1","ORF"
"","chrIII","11503","12285","-1","ORF"
"PAU20","chrXV","11549","11911","-1","ORF"
"","chrI","11565","11951","-1","ORF"
"HXT15","chrIV","11657","13360","-1","ORF"
